python main.py example-model exampleSame.words --train --epochs 100 --num_labels 3 --width 1

Random seed: 42
-----------------------------------------------------------------------------------------
[DATA]
   data:          exampleSame.words
   # word types:  5
   # char types:  11
   # words:       34
   # tag types:   3
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   dim:           200
   batch_size:    80
   lr:            0.002
   epochs:        100

| epoch   1 | loss   0.08 |  -0.12 bits | acc  76.47 | vm  75.38 | time 0:00:00   
| epoch  30 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  31 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  32 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  33 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  34 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  35 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  36 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  37 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  38 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  39 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  40 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  41 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  42 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  43 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  44 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  45 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  46 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  47 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  48 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  49 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  50 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  51 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  52 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  53 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  54 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  55 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  56 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  57 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  58 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  59 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  60 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  61 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  62 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  63 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  64 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  65 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  66 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  67 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  68 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  69 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  70 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  71 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  72 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  73 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  74 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  75 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  76 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  77 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  78 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  79 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  80 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  81 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  82 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  83 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  84 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  85 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  86 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  87 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  88 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  89 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  90 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  91 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  92 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  93 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  94 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  95 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  96 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  97 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  98 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  99 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch 100 | loss  -1.07 |   1.55 bits | acc 100.00 | vm 100.00 | time 0:00:00   

Training time 0:00:02   
=========================================================================================
| Best | acc 100.00 | vm 100.00
=========================================================================================
